model,case_id,ground_truth,old_recommendation,old_category,old_judge_correct,old_judge_clinical_ok,old_judge_overall,rag_recommendation,rag_category,rag_citations,rag_judge_correct,rag_judge_clinical_ok,rag_judge_overall,delta_correct,delta_overall
google_gemma-3-4b-it,ncc_14,Nephrektomie mit Adrenalektomie links; Einschätzung des perioperativen Risikos.,"Initialer Therapieansatz: NIVO+CABO (A) in Kombination mit Carfilzomib und Axitinib.  Eine PET-CT sollte durchgeführt werden, um eine mögliche Fernmetastasierung auszuschließen.  Die Therapie sollte engmaschig überwacht werden.",IO+TKI,False,False,0.09,"Kontrastmittelverstärkte Schädel-MRT zur Detektion von Hirnmetastasen.  Bei negativer MRT-Untersuchung:  Nephrektomie mit ipsilateraler Adrenalektomie, falls keine Infiltration der Nebenniere nachgewiesen wird.  Bei Infiltration der Nebenniere: palliative Systemtherapie.",Diagnostik/Surgery/Systemtherapie,p019_c04|S1; p034_c01|S1; p140_c05|S1,False,False,0.56,0,0.47
google_gemma-3-4b-it,ncc_22,"Systemtherapie: IO + IO vs. IO + TKI (unter Berücksichtigung sarkomatoider Komponente, IMDC intermediate, Komorbiditäten). Anämieabklärung/Supportivtherapie. Knochenprotektion (Denosumab/Bisphosphonat + Ca/Vit-D, Zahnarztstatus) und ggf. lokale Maßnahmen (Radiatio/OP) bei Risiko-Läsionen.",Cabozantinib 100 mg oral einmal täglich.,TKI mono,False,True,0.46,"Eine IO/IO oder IO/TKI Kombination (z.B. Bevacizumab, Pazopanib oder Sunitinib) sollte in Betracht gezogen werden.",IO+TKI,p018_c06|S1; p105_c02|S1; p045_c02|S1,True,True,0.78,1,0.32
google_gemma-3-4b-it,ncc_30,Wechsel der Systemtherapie (z. B. Pazopanib oder Tivozanib oder Sunitinib) je nach Vorbehandlung/Verträglichkeit.,"Fortsetzung von Lenvatinib + Everolimus.  Parallel sollte eine klinische Studie mit anderen Optionen (z.B. Sunitinib, Pembrolizumab) in Betracht gezogen werden.",TKI+IO,False,False,0.27,Cabozantinib,TKI,p041_c05|S41; p034_c01|S34; p049_c02|S49,False,True,0.59,0,0.32
google_gemma-3-4b-it,ncc_36,Erneute Bildgebung in 8 Wochen (Restaging). | Diskussion/Einleitung einer adjuvanten Immuntherapie nach Metastasektomie (je nach Gesamtkontext/Vorbehandlung/Leitlinie/Studienlage).,NIVO+CABO (A) oder PEMBRO+AXI (A).  Die Wahl zwischen NIVO und PEMBRO sollte auf der individuellen Patientenpräferenz und den verfügbaren Biomarkern basieren.,IO+TKI,False,False,0.3,Konsolidierende Immuntherapie mit Pembrolizumab.,IO+TKI,p093_c01|S1,False,True,0.67,0,0.37
google_gemma-3-4b-it,ncc_50,"Lenvatinib + Everolimus fortführen. Tox-Monitoring: Blutbild, Nierenwerte, Lipide/Glukose, Stomatitis, Blutdruck/Proteinurie. Knochenprotektion nach Standard. Re-Staging in 8–12 Wochen.",Umstellung auf Cabozantinib (A) in Kombination mit Everolimus.  Alternativ könnte eine Kombination aus Sunitinib (A) und Everolimus in Betracht gezogen werden.,IO+TKI,False,False,0.31,Eine TKI-basierte Therapie sollte in Betracht gezogen werden. Sunitinib oder Cabozantinib sind Optionen.,TKI,p041_c05|S41; p049_c02|S49,False,False,0.35,0,0.04
google_gemma-3-4b-it,ncc_51,"Tivozanib fortführen (4L) bei stabiler Erkrankung. Engmaschiges klinisches Monitoring (Fatigue, Appetit, Blutdruck, Blutungsrisiko/Interaktionen unter Apixaban), Laborkontrollen (BB, Leber-/Nierenwerte, Elektrolyte). Re-Staging in 8–12 Wochen.",Cabozantinib (A),IO+TKI,False,False,0.35,Weitere TKI-basierte Therapie (z.B. Cabozantinib + Nivolumab oder Pembrolizumab + Axitinib).,IO+TKI,p041_c05|S41; p071_c02|S71; p034_c01|S34; p049_c02|S49,False,False,0.32,0,-0.03
google_gemma-3-4b-it,ncc_62,4L nur bei klarer Zielsetzung/geringer Tox-Erwartung (MTB/Studie),Cabozantinib,IO+TKI,False,True,0.39,"Eine TKI-basierte Therapie (z.B. Sunitinib, Cabozantinib) sollte in Betracht gezogen werden.  Die Wahl des TKIs sollte individuell getroffen werden.",TKI,p038_c04|Seite 38; p050_c01|Seite 50,False,True,0.46,0,0.07
google_gemma-3-4b-it,ncc_63,Belzutifan (sofern geeignet/verfügbar) vs. alternative Sequenz | palliatives Vorgehen / Best supportive care,NIVO + CABO,IO+TKI,False,False,0.18,TKI-basierte Therapie (Zulassungstatus beachten).,TKI,p041_c05|S41; p049_c02|S49,False,True,0.41,0,0.23
google_gemma-3-4b-it,ncc_7,Diagnostische Ureterorenoskopie rechts mit Probeentnahme.,NIVO (ivosidenib) + CABO (cabozantinib),IO+TKI,False,False,0.08,Kontrastmittelverstärkte Schädel-MRT zur Abklärung von Hirnmetastasen.,Diagnostik,p019_c04|S19; p019_c02|S19,False,False,0.16,0,0.08
openmeditron_meditron3-qwen2.5-7b,ncc_11,OP-Planung: Nephrektomie links offen (bei V.-cava-Beteiligung ggf. Thrombektomie).,Nephron-sparing Surgery (NS-S) oder Radikale Nephrectomie (RN),Surgery,False,True,0.58,Die naechste Schritte sollten die Bestimmung der Histologie und die Klassifizierung des IMDC-Risikos sein.,Diagnostik,,False,False,0.18,0,-0.4
openmeditron_meditron3-qwen2.5-7b,ncc_13,"Nierenteilresektion beidseits: zuerst rechts, 8 Wochen später links. Komplettierung des Stagings mittels CT Thorax.",NIVO+CABO (A),IO+TKI,False,False,0.1,CT Thorax und Schädel-MRT,Diagnostik,p019_c04|S19; p019_c02|S19; p016_c01|S16; p016_c04|S16,False,False,0.31,0,0.21
openmeditron_meditron3-qwen2.5-7b,ncc_14,Nephrektomie mit Adrenalektomie links; Einschätzung des perioperativen Risikos.,"Pazopanib (A), Sunitinib (A), Tivozanib (A), BEV+IFN (A)",TKI mono,False,False,0.1,"Klinische Untersuchung, Bestimmung von Laborparametern, Computertomographie (CT)/Magnetresonanztomographie (MRT) des Abdomens/Beckens und CT des Thorax unter Einbeziehung des Knochenfensters, Sonographie.",Diagnostik,p140_c04|S140,False,False,0.12,0,0.02
openmeditron_meditron3-qwen2.5-7b,ncc_22,"Systemtherapie: IO + IO vs. IO + TKI (unter Berücksichtigung sarkomatoider Komponente, IMDC intermediate, Komorbiditäten). Anämieabklärung/Supportivtherapie. Knochenprotektion (Denosumab/Bisphosphonat + Ca/Vit-D, Zahnarztstatus) und ggf. lokale Maßnahmen (Radiatio/OP) bei Risiko-Läsionen.",NIVO+CABO (A),IO+TKI,True,True,0.85,IO/IO oder IO/TKI Kombination,IO+TKI,p105_c02|S10; p018_c06|S1,True,True,0.87,0,0.02
openmeditron_meditron3-qwen2.5-7b,ncc_30,Wechsel der Systemtherapie (z. B. Pazopanib oder Tivozanib oder Sunitinib) je nach Vorbehandlung/Verträglichkeit.,Lenvatinib + Everolimus,IO+TKI,False,False,0.2,Lenvatinib + Everolimus (weitere Dosisreduktion oder Therapieunterbrechung),TKI mono,p041_c05|S1; p066_c04|S1,False,False,0.22,0,0.02
openmeditron_meditron3-qwen2.5-7b,ncc_36,Erneute Bildgebung in 8 Wochen (Restaging). | Diskussion/Einleitung einer adjuvanten Immuntherapie nach Metastasektomie (je nach Gesamtkontext/Vorbehandlung/Leitlinie/Studienlage).,NIVO+CABO (A),IO+TKI,False,False,0.27,Pembrolizumab,IO+TKI,p096_c04|S96; p085_c01|S85; p085_c02|S85; p084_c04|S84; p093_c01|S93,False,True,0.69,0,0.42
openmeditron_meditron3-qwen2.5-7b,ncc_50,"Lenvatinib + Everolimus fortführen. Tox-Monitoring: Blutbild, Nierenwerte, Lipide/Glukose, Stomatitis, Blutdruck/Proteinurie. Knochenprotektion nach Standard. Re-Staging in 8–12 Wochen.",Nephron-sparing Surgery,Surgery,False,False,0.08,Lenvatinib + Pembrolizumab,IO+TKI,p041_c05|S1; p066_c04|S1; p049_c02|S1,False,False,0.27,0,0.19
openmeditron_meditron3-qwen2.5-7b,ncc_51,"Tivozanib fortführen (4L) bei stabiler Erkrankung. Engmaschiges klinisches Monitoring (Fatigue, Appetit, Blutdruck, Blutungsrisiko/Interaktionen unter Apixaban), Laborkontrollen (BB, Leber-/Nierenwerte, Elektrolyte). Re-Staging in 8–12 Wochen.",Surgery,Surgery,False,False,0.08,Eine andere TKI-basierte Therapie wie Sunitinib oder Lenvatinib sollte in Betracht gezogen werden.,TKI mono,p041_c05|S7.16; p071_c02|S7.6.3.15,False,False,0.3,0,0.22
openmeditron_meditron3-qwen2.5-7b,ncc_62,4L nur bei klarer Zielsetzung/geringer Tox-Erwartung (MTB/Studie),Cabozantinib,TKI mono,False,False,0.34,Cabozantinib oder Lenvatinib,TKI mono,p049_c02|S49; p038_c04|S38; p050_c01|S50,False,False,0.33,0,-0.01
openmeditron_meditron3-qwen2.5-7b,ncc_63,Belzutifan (sofern geeignet/verfügbar) vs. alternative Sequenz | palliatives Vorgehen / Best supportive care,Pazopanib (TKI),TKI mono,False,False,0.18,Cabozantinib oder Lenvatinib,TKI mono,p050_c01|S1; p058_c01|S1,False,False,0.34,0,0.16
openmeditron_meditron3-qwen2.5-7b,ncc_7,Diagnostische Ureterorenoskopie rechts mit Probeentnahme.,Nephron-sparing Surgery (NSPS) oder Radikale Nephrectomie,Surgery,False,False,0.33,Aktive Überwachung,Surveillance,p025_c05|S5,False,False,0.26,0,-0.07
allenai_olmo-3.1-32b-instruct,ncc_11,OP-Planung: Nephrektomie links offen (bei V.-cava-Beteiligung ggf. Thrombektomie).,Systemische Therapie mit Immune Checkpoint Inhibitor (z.B. Nivolumab) + Tyrosinkinase-Inhibitor (z.B. Ipilimumab oder Cabozantinib) wenn ICI-Kombination möglich; falls nicht möglich: TKI-Monotherapie (z.B. Sunitinib oder Pazopanib). Alternativ: Vorab Embolisation der V. cava bei Symptomatik oder hohem Blutungsrisiko.,IO+TKI (bei Verfügbarkeit) oder TKI mono,False,False,0.28,Neoadjuvante Systemtherapie (IO+TKI),IO+TKI,p015_c03|Seite 15|Abschnitt 4.2; p019_c04|Seite 19|Abschnitt 4.16,False,False,0.23,0,-0.05
allenai_olmo-3.1-32b-instruct,ncc_13,"Nierenteilresektion beidseits: zuerst rechts, 8 Wochen später links. Komplettierung des Stagings mittels CT Thorax.","Partielle Nierensektion (beide Tumoren, wenn chirurgisch machbar) nach histologischer Bestätigung",Surgery,True,True,0.85,kontrastmittelverstaerkte Schadel-MRT als naechster diagnostischer Schritt,Diagnostik,p019_c04; p019_c02,False,False,0.21,-1,-0.64
allenai_olmo-3.1-32b-instruct,ncc_14,Nephrektomie mit Adrenalektomie links; Einschätzung des perioperativen Risikos.,Aktive Überwachung (GoR 0),Surveillance,False,False,0.3,Radikale Nephrektomie ohne ipsilaterale Adrenalektomie,Surgery,p032_c01; p140_c04,False,True,0.73,0,0.43
allenai_olmo-3.1-32b-instruct,ncc_22,"Systemtherapie: IO + IO vs. IO + TKI (unter Berücksichtigung sarkomatoider Komponente, IMDC intermediate, Komorbiditäten). Anämieabklärung/Supportivtherapie. Knochenprotektion (Denosumab/Bisphosphonat + Ca/Vit-D, Zahnarztstatus) und ggf. lokale Maßnahmen (Radiatio/OP) bei Risiko-Läsionen.",Nivolumab + Cabozantinib,IO+TKI,True,True,0.86,IO/TKI-Kombination (z.B. Sunitinib),IO/TKI,p105_c02|Seite 105,True,True,0.74,0,-0.12
allenai_olmo-3.1-32b-instruct,ncc_30,Wechsel der Systemtherapie (z. B. Pazopanib oder Tivozanib oder Sunitinib) je nach Vorbehandlung/Verträglichkeit.,"Cabozantinib mono (4. Linie, nach vorangegangenen ICI+VEGF-Inhibitor und VEGF/PI3K-Kombination)",TKI mono,False,False,0.4,Cabozantinib monotherapie,TKI mono,p041_c05|Seite 41; p034_c01|Seite 34; p049_c02|Seite 49,False,False,0.47,0,0.07
allenai_olmo-3.1-32b-instruct,ncc_36,Erneute Bildgebung in 8 Wochen (Restaging). | Diskussion/Einleitung einer adjuvanten Immuntherapie nach Metastasektomie (je nach Gesamtkontext/Vorbehandlung/Leitlinie/Studienlage).,Nivolumab + Cabozantinib,IO+TKI,False,False,0.34,Pembrolizumab als konsolidierende Immuntherapie,IO,p093_c01|S1,False,True,0.62,0,0.28
allenai_olmo-3.1-32b-instruct,ncc_50,"Lenvatinib + Everolimus fortführen. Tox-Monitoring: Blutbild, Nierenwerte, Lipide/Glukose, Stomatitis, Blutdruck/Proteinurie. Knochenprotektion nach Standard. Re-Staging in 8–12 Wochen.","Lenvatinib + Everolimus (beibehalten), unter steter Kontrolle von Nierenfunktion und Blutdruck; bei erneutem Progression: Cabozantinib (2. Linie TKI-Monotherapie) oder Pembrolizumab (je nach Bioptiergebnis und vorheriger Exposition) erwägen",TKI + mTOR-Inhibitor,True,True,0.87,Fortsetzung von Lenvatinib + Everolimus (TKI + mTOR) als zulassungsgemäße TKI-basierte Therapie in der 3. Linie,TKI + mTOR,p041_c05|Seite 41,True,True,0.94,0,0.07
allenai_olmo-3.1-32b-instruct,ncc_51,"Tivozanib fortführen (4L) bei stabiler Erkrankung. Engmaschiges klinisches Monitoring (Fatigue, Appetit, Blutdruck, Blutungsrisiko/Interaktionen unter Apixaban), Laborkontrollen (BB, Leber-/Nierenwerte, Elektrolyte). Re-Staging in 8–12 Wochen.",Weiterhin Tivozanib als 4. Linie-Therapie (TKI-Monotherapie),TKI mono,True,True,0.88,Tivozanib (Fortsetzung der aktuellen 4L-Therapie),TKI mono,p041_c05|7.16; p071_c02|7.6.3.15,True,True,0.91,0,0.03
allenai_olmo-3.1-32b-instruct,ncc_62,4L nur bei klarer Zielsetzung/geringer Tox-Erwartung (MTB/Studie),Nivolumab + Ipilimumab (IO-Kombination),IO+IO,False,False,0.29,Cabozantinib (TKI-basierte Zweitlinie),TKI mono,p041_c05|7.16,False,True,0.44,0,0.15
allenai_olmo-3.1-32b-instruct,ncc_63,Belzutifan (sofern geeignet/verfügbar) vs. alternative Sequenz | palliatives Vorgehen / Best supportive care,Cabozantinib (TKI) als vierte Linie-Therapie oder Clinical Trial,TKI mono,False,True,0.43,Cabozantinib oder Lenvatinib+Everolimus,TKI mono/TKI+mTOR,p041_c05|7.16; p049_c02|Empfehlung,False,False,0.31,0,-0.12
allenai_olmo-3.1-32b-instruct,ncc_7,Diagnostische Ureterorenoskopie rechts mit Probeentnahme.,Nephron-sparende Tumorektomie (nach histologischer Bestimmung durch Biopsie),Surgery,False,False,0.37,Aktive Überwachung (Surveillance),Surveillance,p025_c05; p015_c03; p019_c02,False,False,0.29,0,-0.08
allenai_olmo-3.1-32b-think,ncc_11,OP-Planung: Nephrektomie links offen (bei V.-cava-Beteiligung ggf. Thrombektomie).,Radikale Nephrektomie,Surgery,True,True,0.85,surgery with thrombectomy if feasible,Surgery,p019_c02; p091_c02,True,True,0.92,0,0.07
allenai_olmo-3.1-32b-think,ncc_13,"Nierenteilresektion beidseits: zuerst rechts, 8 Wochen später links. Komplettierung des Stagings mittels CT Thorax.",Nephron-sparende chirurgische Tumorektomie beider Nieren,Surgery,True,True,0.87,Thorax CT,Diagnostik,p019_c02,False,False,0.35,-1,-0.52
allenai_olmo-3.1-32b-think,ncc_14,Nephrektomie mit Adrenalektomie links; Einschätzung des perioperativen Risikos.,Aktive Überwachung,Surveillance,False,False,0.35,"Surgery (nephrectomy, adrenalectomy decision uncertain)",Surgery,p032_c01|S1,False,True,0.75,0,0.4
allenai_olmo-3.1-32b-think,ncc_22,"Systemtherapie: IO + IO vs. IO + TKI (unter Berücksichtigung sarkomatoider Komponente, IMDC intermediate, Komorbiditäten). Anämieabklärung/Supportivtherapie. Knochenprotektion (Denosumab/Bisphosphonat + Ca/Vit-D, Zahnarztstatus) und ggf. lokale Maßnahmen (Radiatio/OP) bei Risiko-Läsionen.",Cabozantinib,TKI mono,False,True,0.52,IO/IO oder IO/TKI-Kombinationstherapie,IO/IO or IO/TKI,p105_c02,True,True,0.89,1,0.37
allenai_olmo-3.1-32b-think,ncc_30,Wechsel der Systemtherapie (z. B. Pazopanib oder Tivozanib oder Sunitinib) je nach Vorbehandlung/Verträglichkeit.,Clinical trial or palliative care,Other,False,True,0.43,,,,False,False,0.0,0,-0.43
allenai_olmo-3.1-32b-think,ncc_36,Erneute Bildgebung in 8 Wochen (Restaging). | Diskussion/Einleitung einer adjuvanten Immuntherapie nach Metastasektomie (je nach Gesamtkontext/Vorbehandlung/Leitlinie/Studienlage).,Nivolumab + Cabozantinib,IO+TKI,False,False,0.36,No specific recommendation,No recommendation,p085_c01; p096_c04,False,False,0.23,0,-0.13
allenai_olmo-3.1-32b-think,ncc_50,"Lenvatinib + Everolimus fortführen. Tox-Monitoring: Blutbild, Nierenwerte, Lipide/Glukose, Stomatitis, Blutdruck/Proteinurie. Knochenprotektion nach Standard. Re-Staging in 8–12 Wochen.",Continue lenvatinib + everolimus,etc.,True,True,0.89,Lenvatinib + Everolimus (Fortsetzen),TKI + mTOR,p041_c05; p067_c01,True,True,0.93,0,0.04
allenai_olmo-3.1-32b-think,ncc_51,"Tivozanib fortführen (4L) bei stabiler Erkrankung. Engmaschiges klinisches Monitoring (Fatigue, Appetit, Blutdruck, Blutungsrisiko/Interaktionen unter Apixaban), Laborkontrollen (BB, Leber-/Nierenwerte, Elektrolyte). Re-Staging in 8–12 Wochen.",Continue Tivozanib,TKI mono,True,True,0.89,Weiterführende Therapie mit Tivozanib bei stabilisierender Erkrankung,TKI mono,,True,True,0.85,0,-0.04
allenai_olmo-3.1-32b-think,ncc_62,4L nur bei klarer Zielsetzung/geringer Tox-Erwartung (MTB/Studie),Palliative/supportive care,supportive care,False,True,0.64,,,p041_c05,False,False,0.3,0,-0.34
allenai_olmo-3.1-32b-think,ncc_63,Belzutifan (sofern geeignet/verfügbar) vs. alternative Sequenz | palliatives Vorgehen / Best supportive care,Cabozantinib,TKI mono,False,False,0.34,No guideline-based recommendation available,No guideline-based therapy,p041_c05,False,False,0.28,0,-0.06
allenai_olmo-3.1-32b-think,ncc_7,Diagnostische Ureterorenoskopie rechts mit Probeentnahme.,Nephron-sparendes Nephrectomie,Surgery,False,False,0.33,Biopsie,Diagnostik,p016_c01,False,True,0.77,0,0.44
